"service_quote_id","service_id","name","index","quote","unit","start_date","end_date","hidden","disabled","deleted","deleted_at","created_at","created_by","updated_at","updated_by"
7619,1007,"(SG-ONT5)181 ~ 270","130_days270",1.5000,"per CBM per day","2025-02-26 00:00:00","2099-12-31 23:59:59",0,0,0,,"2025-08-13 23:04:20",0,"2025-08-14 17:47:42",0
7620,1007,"(SG-ONT5)365+","130_days_other",2.5000,"per CBM per day","2025-02-26 00:00:00","2099-12-31 23:59:59",0,0,0,,"2025-08-13 23:04:20",0,"2025-08-14 17:47:41",0
7621,1007,"(SG-ONT5)31 ~ 60","130_days60",0.4200,"per CBM per day","2025-02-26 00:00:00","2099-12-31 23:59:59",0,0,0,,"2025-08-13 23:04:20",0,"2025-08-14 17:47:41",0
7622,1007,"(SG-ONT5)61 ~ 90","130_days_geq61_leq90",0.7000,"per CBM per day","2025-02-26 00:00:00","2099-12-31 23:59:59",0,0,0,,"2025-08-13 23:04:20",0,"2025-08-14 17:47:41",0
7623,1007,"(SG-ONT5)271 ~ 365","130_days365",1.8000,"per CBM per day","2025-02-26 00:00:00","2099-12-31 23:59:59",0,0,0,,"2025-08-13 23:04:20",0,"2025-08-14 17:47:40",0
7860,1007,"(SG-IAH3)61 ~ 90","131_days_geq61_leq90",0.4800,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
7861,1007,"(SG-IAH3)365+","131_days_other",2.5000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
7862,1007,"(SG-IAH3)91 ~ 120","131_days120",1.0000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
7863,1007,"(SG-IAH3)121 ~ 180","131_days180",1.2000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
7864,1007,"(SG-IAH3)181 ~ 270","131_days270",1.5000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
7865,1007,"(SG-IAH3)0 ~ 30","131_days30",0.0000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
7866,1007,"(SG-IAH3)271 ~ 365","131_days365",1.8000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
7867,1007,"(SG-IAH3)31 ~ 60","131_days60",0.2800,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
8594,1007,"(SG-SAV2)61 ~ 90","19107_days_geq61_leq90",0.4800,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
8595,1007,"(SG-SAV2)365+","19107_days_other",2.5000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
8596,1007,"(SG-SAV2)91 ~ 120","19107_days120",1.0000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
8597,1007,"(SG-SAV2)121 ~ 180","19107_days180",1.2000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
8598,1007,"(SG-SAV2)181 ~ 270","19107_days270",1.5000,"per CBM per day","2024-05-13 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-05-13 07:00:00",0,"2024-05-13 07:00:00",0
