"rate_company_id","company_id","service_id","fee_group","fee_code","fee","start_date","end_date","hidden","disabled","deleted","deleted_at","created_at","created_by","updated_at","updated_by"
38681,1,1610,"Additional Handling Charge","AHL-4",4.92,"2024-10-17 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:05:44",0
38682,1,1610,"Additional Handling Charge","AHS-1",3.61,"2024-10-17 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:05:44",0
38683,1,1610,"Additional Handling Charge","AHS-2",4.02,"2024-10-17 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:05:44",0
38684,1,1610,"Additional Handling Charge","AHS-3",4.42,"2024-10-17 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:05:45",0
38685,1,1610,"Additional Handling Charge","AHS-4",4.92,"2024-10-17 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:05:45",0
38686,1,1610,"Additional Handling Charge","AHG-1",3.61,"2024-10-17 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:05:45",0
38687,1,1610,"Additional Handling Charge","AHG-2",4.02,"2024-10-17 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:05:46",0
38688,1,1610,"Additional Handling Charge","AHG-3",4.42,"2024-10-17 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:05:46",0
38689,1,1610,"Additional Handling Charge","AHG-4",4.92,"2024-10-17 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-11-18 23:05:46",0
38702,1,1610,"Peak Surcharge - Additional Handling","SAH",4.24,"2024-10-17 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-10-16 18:42:41",0,"2024-11-19 00:02:46",0
38704,1,1610,"Peak surcharge - Large Package","SLP",46.14,"2024-10-17 00:00:00","2024-11-19 23:59:59",0,0,0,,"2024-10-16 18:45:17",0,"2024-11-19 00:05:04",0
41368,1,1610,"Additional Handling Charge","AHC-1",3.17,"2024-11-20 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-07-30 20:00:00",0
41369,1,1610,"Additional Handling Charge","AHC-2",3.73,"2024-11-20 00:00:00","2099-12-31 23:59:59",0,0,0,,"2024-07-30 20:00:00",0,"2024-07-30 20:00:00",0
