zone_chart_id,zip_range_start,zip_range_end,warehouse_id,zone_chart_type_id,zone,hidden,disabled,deleted,deleted_at,created_at,created_by,updated_at,updated_by
116339,01700,01799,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116340,01800,01899,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116341,01900,01999,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116342,02000,02099,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116343,02100,02199,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116344,02200,02299,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116345,02300,02399,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116346,02400,02499,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116347,02500,02599,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116348,02600,02699,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116349,02700,02799,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116350,02800,02899,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116351,02900,02999,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116352,03000,03099,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116353,03100,03199,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116354,03200,03299,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116355,03300,03399,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116356,03400,03499,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116357,03500,03599,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116358,03600,03699,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116359,03700,03799,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116360,03800,03899,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116361,03900,03999,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116362,04000,04099,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116363,04100,04199,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116364,04200,04299,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116365,04300,04399,120,4,106,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116366,04400,04499,120,4,106,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116367,04500,04599,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116368,04600,04699,120,4,106,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116369,04700,04799,120,4,106,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116370,04800,04899,120,4,106,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116371,04900,04999,120,4,106,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116372,05000,05099,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116373,05100,05199,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116374,05200,05299,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116375,05300,05399,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116376,05400,05499,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116377,05500,05599,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116378,05600,05699,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116379,05700,05799,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116380,05800,05899,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116381,05900,05999,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116382,06000,06099,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116383,06100,06199,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116384,06200,06299,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116385,06300,06399,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116386,06400,06499,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116387,06500,06599,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116388,06600,06699,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116389,06700,06799,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116390,06800,06899,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116391,06900,06999,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116392,07000,07099,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116393,07100,07199,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116394,07200,07299,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116395,07300,07399,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116396,07400,07499,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116397,07500,07599,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116398,07600,07699,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116399,07700,07799,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116400,07800,07899,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116401,07900,07999,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116402,08000,08099,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116403,08100,08199,120,4,104,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116404,08200,08299,120,4,104,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116405,08300,08399,120,4,104,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116406,08400,08499,120,4,104,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116407,08500,08599,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116408,08600,08699,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116409,08700,08799,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116410,08800,08899,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116411,08900,08999,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116412,10000,10099,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116413,10100,10199,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116414,10200,10299,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116415,10300,10399,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
116416,10400,10499,120,4,105,0,0,0,,2024/12/3 1:48,0,2024/12/3 1:48,0
